points: customPlane
(-9.500000,0.000000,0.000000)
(-9.447368,0.000000,0.000000)
(-9.394737,0.000000,0.000000)
(-9.342105,0.000000,0.000000)
(-9.289474,0.000000,0.000000)
(-9.236842,0.000000,0.000000)
(-9.184211,0.000000,0.000000)
(-9.131579,0.000000,0.000000)
(-9.078947,0.000000,0.000000)
(-9.026316,0.000000,0.000000)
(-8.973684,0.000000,0.000000)
(-8.921053,0.000000,0.000000)
(-8.868421,0.000000,0.000000)
(-8.815789,0.000000,0.000000)
(-8.763158,0.000000,0.000000)
(-8.710526,0.000000,0.000000)
(-8.657895,0.000000,0.000000)
(-8.605263,0.000000,0.000000)
(-8.552632,0.000000,0.000000)
(-8.500000,0.000000,0.000000)
(-9.520642,0.082297,0.164564)
(-9.471541,0.073634,0.181420)
(-9.422440,0.064972,0.198277)
(-9.373339,0.056309,0.215133)
(-9.324238,0.047646,0.231989)
(-9.275137,0.038983,0.248846)
(-9.226036,0.030320,0.265702)
(-9.176935,0.021657,0.282559)
(-9.127834,0.012994,0.299415)
(-9.078733,0.004331,0.316271)
(-9.029632,-0.004331,0.333128)
(-8.980531,-0.012994,0.349984)
(-8.931430,-0.021657,0.366840)
(-8.882330,-0.030320,0.383697)
(-8.833229,-0.038983,0.400553)
(-8.784128,-0.047646,0.417409)
(-8.735027,-0.056309,0.434266)
(-8.685926,-0.064972,0.451122)
(-8.636825,-0.073634,0.467979)
(-8.587724,-0.082297,0.484835)
(-9.584051,0.162350,0.323746)
(-9.544768,0.145260,0.354322)
(-9.505484,0.128171,0.384897)
(-9.466201,0.111081,0.415472)
(-9.426918,0.093992,0.446048)
(-9.387634,0.076903,0.476623)
(-9.348351,0.059813,0.507199)
(-9.309068,0.042724,0.537774)
(-9.269784,0.025634,0.568350)
(-9.230501,0.008545,0.598925)
(-9.191218,-0.008545,0.629500)
(-9.151935,-0.025634,0.660076)
(-9.112651,-0.042724,0.690651)
(-9.073368,-0.059813,0.721227)
(-9.034085,-0.076903,0.751802)
(-8.994801,-0.093992,0.782378)
(-8.955518,-0.111081,0.812953)
(-8.916235,-0.128171,0.843528)
(-8.876951,-0.145260,0.874104)
(-8.837668,-0.162350,0.904679)
(-9.693565,0.237974,0.469034)
(-9.668248,0.212924,0.507784)
(-9.642931,0.187874,0.546535)
(-9.617614,0.162824,0.585286)
(-9.592296,0.137774,0.624037)
(-9.566979,0.112724,0.662788)
(-9.541662,0.087675,0.701539)
(-9.516345,0.062625,0.740289)
(-9.491028,0.037575,0.779040)
(-9.465710,0.012525,0.817791)
(-9.440393,-0.012525,0.856542)
(-9.415076,-0.037575,0.895293)
(-9.389759,-0.062625,0.934044)
(-9.364442,-0.087675,0.972794)
(-9.339125,-0.112724,1.011545)
(-9.313807,-0.137774,1.050296)
(-9.288490,-0.162824,1.089047)
(-9.263173,-0.187874,1.127798)
(-9.237856,-0.212924,1.166549)
(-9.212539,-0.237974,1.205299)
(-9.851376,0.307106,0.586904)
(-9.841180,0.274779,0.627167)
(-9.830984,0.242452,0.667429)
(-9.820788,0.210125,0.707692)
(-9.810592,0.177798,0.747955)
(-9.800396,0.145471,0.788218)
(-9.790200,0.113144,0.828480)
(-9.780004,0.080817,0.868743)
(-9.769808,0.048490,0.909006)
(-9.759612,0.016163,0.949269)
(-9.749417,-0.016163,0.989532)
(-9.739221,-0.048490,1.029794)
(-9.729025,-0.080817,1.070057)
(-9.718829,-0.113144,1.110320)
(-9.708633,-0.145471,1.150583)
(-9.698437,-0.177798,1.190846)
(-9.688241,-0.210125,1.231108)
(-9.678045,-0.242452,1.271371)
(-9.667849,-0.274779,1.311634)
(-9.657653,-0.307106,1.351897)
(-10.054615,0.367862,0.659100)
(-10.057558,0.329140,0.694625)
(-10.060502,0.290417,0.730150)
(-10.063446,0.251695,0.765674)
(-10.066389,0.212973,0.801199)
(-10.069333,0.174250,0.836724)
(-10.072277,0.135528,0.872248)
(-10.075220,0.096806,0.907773)
(-10.078164,0.058083,0.943298)
(-10.081108,0.019361,0.978822)
(-10.084051,-0.019361,1.014347)
(-10.086995,-0.058083,1.049871)
(-10.089938,-0.096806,1.085396)
(-10.092882,-0.135528,1.120921)
(-10.095826,-0.174250,1.156445)
(-10.098769,-0.212973,1.191970)
(-10.101713,-0.251695,1.227495)
(-10.104657,-0.290417,1.263019)
(-10.107600,-0.329140,1.298544)
(-10.110544,-0.367862,1.334069)
(-10.291842,0.418583,0.665333)
(-10.303406,0.374522,0.691695)
(-10.314969,0.330460,0.718057)
(-10.326533,0.286399,0.744419)
(-10.338096,0.242338,0.770782)
(-10.349660,0.198276,0.797144)
(-10.361223,0.154215,0.823506)
(-10.372787,0.110153,0.849868)
(-10.384350,0.066092,0.876230)
(-10.395914,0.022031,0.902592)
(-10.407477,-0.022031,0.928954)
(-10.419041,-0.066092,0.955317)
(-10.430604,-0.110153,0.981679)
(-10.442168,-0.154215,1.008041)
(-10.453731,-0.198276,1.034403)
(-10.465295,-0.242338,1.060765)
(-10.476858,-0.286399,1.087127)
(-10.488422,-0.330460,1.113489)
(-10.499985,-0.374522,1.139851)
(-10.511549,-0.418583,1.166214)
(-10.541251,0.457887,0.587955)
(-10.555570,0.409688,0.603510)
(-10.569889,0.361489,0.619065)
(-10.584208,0.313291,0.634619)
(-10.598527,0.265092,0.650174)
(-10.612846,0.216894,0.665728)
(-10.627165,0.168695,0.681283)
(-10.641484,0.120496,0.696837)
(-10.655803,0.072298,0.712392)
(-10.670122,0.024099,0.727947)
(-10.684441,-0.024099,0.743501)
(-10.698760,-0.072298,0.759056)
(-10.713079,-0.120496,0.774610)
(-10.727398,-0.168695,0.790165)
(-10.741717,-0.216894,0.805719)
(-10.756036,-0.265092,0.821274)
(-10.770355,-0.313291,0.836829)
(-10.784674,-0.361489,0.852383)
(-10.798993,-0.409688,0.867938)
(-10.813312,-0.457887,0.883492)
(-10.771525,0.484700,0.417528)
(-10.782888,0.433679,0.423678)
(-10.794251,0.382658,0.429827)
(-10.805614,0.331637,0.435976)
(-10.816977,0.280616,0.442126)
(-10.828340,0.229595,0.448275)
(-10.839703,0.178574,0.454425)
(-10.851066,0.127553,0.460574)
(-10.862429,0.076532,0.466723)
(-10.873792,0.025511,0.472873)
(-10.885155,-0.025511,0.479022)
(-10.896518,-0.076532,0.485171)
(-10.907881,-0.127553,0.491321)
(-10.919244,-0.178574,0.497470)
(-10.930607,-0.229595,0.503620)
(-10.941971,-0.280616,0.509769)
(-10.953334,-0.331637,0.515918)
(-10.964697,-0.382658,0.522068)
(-10.976060,-0.433679,0.528217)
(-10.987423,-0.484700,0.534366)
(-10.945635,0.498292,0.157799)
(-10.949922,0.445840,0.158514)
(-10.954209,0.393389,0.159229)
(-10.958496,0.340937,0.159945)
