points: customPlane
(1.000000,-0.000000,-10.000000)
(-0.645946,-0.000000,-9.863613)
(-2.246995,-0.000000,-9.458172)
(-3.759474,-0.000000,-8.794738)
(-5.142127,-0.000000,-7.891405)
(-6.357239,-0.000000,-6.772816)
(-7.371665,-0.000000,-5.469482)
(-8.157733,-0.000000,-4.016954)
(-8.694003,-0.000000,-2.454855)
(-8.965845,-0.000000,-0.825793)
(-8.965845,-0.000000,0.825793)
(-8.694003,-0.000000,2.454855)
(-8.157733,-0.000000,4.016954)
(-7.371665,-0.000000,5.469482)
(-6.357239,-0.000000,6.772816)
(-5.142127,-0.000000,7.891405)
(-3.759474,-0.000000,8.794738)
(-2.246995,-0.000000,9.458172)
(-0.645946,-0.000000,9.863613)
(1.000000,-0.000000,10.000000)
(1.000000,-0.000000,-10.000000)
(-0.556764,-0.534438,-9.863613)
(-2.071064,-1.054297,-9.458172)
(-3.501593,-1.545399,-8.794738)
(-4.809330,-1.994345,-7.891405)
(-5.958604,-2.388892,-6.772816)
(-6.918065,-2.718275,-5.469482)
(-7.661542,-2.973511,-4.016954)
(-8.168755,-3.147638,-2.454855)
(-8.425868,-3.235905,-0.825793)
(-8.425868,-3.235905,0.825793)
(-8.168755,-3.147638,2.454855)
(-7.661542,-2.973511,4.016954)
(-6.918065,-2.718275,5.469482)
(-5.958604,-2.388892,6.772816)
(-4.809330,-1.994345,7.891405)
(-3.501593,-1.545399,8.794738)
(-2.071064,-1.054297,9.458172)
(-0.556764,-0.534438,9.863613)
(1.000000,-0.000000,10.000000)
(1.000000,-0.000000,-10.000000)
(-0.298883,-1.010961,-9.863613)
(-1.562335,-1.994345,-9.458172)
(-2.755894,-2.923329,-8.794738)
(-3.847001,-3.772573,-7.891405)
(-4.805895,-4.518910,-6.772816)
(-5.606420,-5.141983,-5.469482)
(-6.226738,-5.624796,-4.016954)
(-6.649930,-5.954180,-2.454855)
(-6.864452,-6.121149,-0.825793)
(-6.864452,-6.121149,0.825793)
(-6.649930,-5.954180,2.454855)
(-6.226738,-5.624796,4.016954)
(-5.606420,-5.141983,5.469482)
(-4.805895,-4.518910,6.772816)
(-3.847001,-3.772573,7.891405)
(-2.755894,-2.923329,8.794738)
(-1.562335,-1.994345,9.458172)
(-0.298883,-1.010961,9.863613)
(1.000000,-0.000000,10.000000)
(1.000000,-0.000000,-10.000000)
(0.099753,-1.377931,-9.863613)
(-0.775938,-2.718275,-9.458172)
